cohort,scope,adjustment,outcome_id,exposure_model,n,people,parameters,matrix_rank,events,outcome_coding_status,scenario,model_status,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,standardized_risk,standard_error,ci_low,ci_high,observed_n,observed_events,observed_risk,warnings,risk_difference_vs_0,risk_difference_standard_error,risk_difference_ci_low,risk_difference_ci_high
charls,comparable_22_30_months,full,mortality,score_categorical,1262,1262,13,13,34.0,PASS_SOURCE_STATUS,__model__,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,full,incident_any_adl,score_categorical,966,966,13,13,153.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,332.0,59.0,273.0,60.0,13.0,47.0,,,,,,,,,,,,
charls,comparable_22_30_months,full,incident_any_iadl,score_categorical,917,917,13,13,152.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,292.0,53.0,239.0,58.0,14.0,44.0,,,,,,,,,,,,
charls,comparable_22_30_months,full,multimorbidity_progression,score_categorical,1144,1144,13,13,125.0,PASS_STRICT_COMMON_SIX,__model__,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,full,mortality,score_categorical,28927,8865,19,19,509.0,PASS_SOURCE_STATUS,withdrawal_0,PASS,5725.0,161.0,5564.0,427.0,21.0,406.0,0.0146547364079352,0.0007808942351059,0.0131242118313926,0.0161852609844779,22775.0,327.0,0.0143578485181119,,,,,
elsa,comparable_22_30_months,full,mortality,score_categorical,28927,8865,19,19,509.0,PASS_SOURCE_STATUS,withdrawal_1,PASS,5725.0,161.0,5564.0,427.0,21.0,406.0,0.0260010088830305,0.0020146278322016,0.0220524108896632,0.0299496068763978,5725.0,161.0,0.028122270742358,,0.0113462724750952,0.0021808781780933,0.0070718297913629,0.0156207151588275
elsa,comparable_22_30_months,full,mortality,score_categorical,28927,8865,19,19,509.0,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,5725.0,161.0,5564.0,427.0,21.0,406.0,0.0501409083159878,0.0105280667776883,0.029506276604886,0.0707755400270896,427.0,21.0,0.0491803278688524,,0.0354861719080525,0.0105865626448355,0.0147368904040978,0.0562354534120073
elsa,comparable_22_30_months,full,incident_any_adl,score_categorical,23018,7512,19,19,2200.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,4172.0,528.0,3644.0,290.0,48.0,242.0,0.0871784827467348,0.0021887965790739,0.0828885202822653,0.0914684452112042,18556.0,1624.0,0.0875188618236689,,,,,
elsa,comparable_22_30_months,full,incident_any_adl,score_categorical,23018,7512,19,19,2200.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,4172.0,528.0,3644.0,290.0,48.0,242.0,0.1284348072343284,0.0053164208692628,0.118014813803916,0.1388548006647408,4172.0,528.0,0.1265580057526366,,0.0412563244875936,0.0056919991933496,0.0301002110685973,0.0524124379065899
elsa,comparable_22_30_months,full,incident_any_adl,score_categorical,23018,7512,19,19,2200.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,4172.0,528.0,3644.0,290.0,48.0,242.0,0.1783576673393326,0.0238103619752087,0.1316902154090614,0.2250251192696037,290.0,48.0,0.1655172413793103,,0.0911791845925977,0.0239067360384386,0.0443228429693522,0.1380355262158433
elsa,comparable_22_30_months,full,incident_any_iadl,score_categorical,25533,7910,19,19,1402.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,4747.0,373.0,4374.0,329.0,34.0,295.0,0.0481166124964472,0.0015370718021591,0.0451040071225632,0.0511292178703312,20457.0,995.0,0.048638607811507,,,,,
elsa,comparable_22_30_months,full,incident_any_iadl,score_categorical,25533,7910,19,19,1402.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,4747.0,373.0,4374.0,329.0,34.0,295.0,0.0810247414531449,0.00405123750948,0.0730844618417463,0.0889650210645436,4747.0,373.0,0.078575942700653,,0.0329081289566977,0.0042864661153147,0.0245068097497295,0.0413094481636658
elsa,comparable_22_30_months,full,incident_any_iadl,score_categorical,25533,7910,19,19,1402.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,4747.0,373.0,4374.0,329.0,34.0,295.0,0.126759854232948,0.0199683900298871,0.0876225289451205,0.1658971795207755,329.0,34.0,0.1033434650455927,,0.0786432417365007,0.0200390333568983,0.0393674580719832,0.1179190254010182
