cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,warnings,term,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,withdrawal_only_n,withdrawal_only_events,withdrawal_only_nonevents,frailty_only_n,frailty_only_events,frailty_only_nonevents,both_n,both_events,both_nonevents
hrs,incident_diabetes,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,19,19,PASS,,__model__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,21,21,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,3050.0,111.0,2939.0,290.0,11.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,21,21,PASS,,prefrail,,,,,,,5509.0,201.0,5308.0,680.0,23.0,657.0,risk_ratio,1.2859028545877849,0.10931375898785292,1.037911012785731,1.5931482863824051,0.021427789736465377,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,21,21,PASS,,frail,,,,,,,5509.0,201.0,5308.0,680.0,23.0,657.0,risk_ratio,1.1611329372279329,0.23764931735716088,0.7287766995989011,1.849990125449394,0.5295838531242032,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,23,23,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,3050.0,111.0,2939.0,290.0,11.0,279.0,5509.0,201.0,5308.0,680.0,23.0,657.0,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,20,20,PASS,,any_withdrawal,,,,,,,,,,,,,risk_ratio,1.2567115373598974,0.17921994489303172,0.884470410747701,1.7856152890387487,0.20232308954858036,3340.0,122.0,3218.0,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,22,22,PASS,,prefrail,,,,,,,5509.0,201.0,5308.0,680.0,23.0,657.0,risk_ratio,1.2839137435254446,0.1091586134535911,1.036620677605097,1.590200288713029,0.022053306266075375,3340.0,122.0,3218.0,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,22,22,PASS,,frail,,,,,,,5509.0,201.0,5308.0,680.0,23.0,657.0,risk_ratio,1.1610294172614388,0.23751183556305608,0.7289081106964005,1.8493268053480212,0.529591383969874,3340.0,122.0,3218.0,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,22,22,PASS,,any_withdrawal,,,,,,,5509.0,201.0,5308.0,680.0,23.0,657.0,risk_ratio,1.2504816065151878,0.17834876926884322,0.8815898073987175,1.7737322222982403,0.21008787991802214,3340.0,122.0,3218.0,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,12788,7983,400,12388,22,22,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,3055.0,111.0,2944.0,290.0,11.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,35615,13131,1254,34361,21,21,PASS,,fi_per_0_1,8838.0,362.0,8476.0,920.0,46.0,874.0,,,,,,,risk_ratio,1.1369456857194018,0.030059304084706195,1.0718973370712652,1.2059415091074333,1.957000665190249e-05,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,35615,13131,1254,34361,21,21,PASS,,loss_1,8838.0,362.0,8476.0,920.0,46.0,874.0,,,,,,,risk_ratio,1.1014065309453096,0.10313566429189537,0.8998257369390935,1.3481458649266131,0.3490084381693327,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,35615,13131,1254,34361,21,21,PASS,,loss_2plus,8838.0,362.0,8476.0,920.0,46.0,874.0,,,,,,,risk_ratio,1.2500588728510298,0.223602373601149,0.806491475974678,1.9375867348195641,0.3182024227765978,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,12071,7666,375,11696,21,21,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,2755.0,100.0,2655.0,251.0,10.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,12071,7666,375,11696,20,20,PASS,,any_withdrawal,,,,,,,,,,,,,risk_ratio,1.2504060961458716,0.18511443036705588,0.8699241621563574,1.7973008145941551,0.2273588012537241,3006.0,110.0,2896.0,,,,,,,,,
hrs,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,22,22,PASS,,withdrawal_only,,,,,,,,,,,,,risk_ratio,1.265878959570321,0.1804402083283533,0.8887941708840303,1.8029478508944066,0.19134194081660238,,,,3006.0,110.0,2896.0,346.0,11.0,335.0,334.0,12.0,322.0
hrs,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,22,22,PASS,,frailty_only,,,,,,,,,,,,,risk_ratio,1.0346736261933003,0.31116624400597936,0.5622612994624517,1.9040071115751502,0.9127719297547915,,,,3006.0,110.0,2896.0,346.0,11.0,335.0,334.0,12.0,322.0
hrs,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,12751,7972,398,12353,22,22,PASS,,both,,,,,,,,,,,,,risk_ratio,1.156136172940534,0.34165965184150404,0.591817450314859,2.258552615625745,0.6710965566248617,,,,3006.0,110.0,2896.0,346.0,11.0,335.0,334.0,12.0,322.0
hrs,incident_stroke,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,15075,9366,292,14783,19,19,PASS,,__model__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_stroke,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,15075,9366,292,14783,21,21,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,3741.0,75.0,3666.0,393.0,11.0,382.0,,,,,,,,,,,,,,,,,,,,,,,,
