cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
klosa,incident_any_adl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,16129,5498,348,15781,16,16,4851.0,151.0,4700.0,PASS,,any_withdrawal,risk_ratio,1.607421253134359,0.10887392560685219,1.298542154669416,1.9897722039573058,1.3038561562370731e-05,,,,,,
klosa,incident_any_adl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,16129,5498,348,15781,19,19,4851.0,151.0,4700.0,PASS,,any_withdrawal,risk_ratio,1.099661393220267,0.2044599467060579,0.736584127338046,1.6417068123763223,0.6421821415057875,,,,,,
klosa,incident_any_adl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,490,490,16619,5649,838,15781,16,16,5061.0,361.0,4700.0,PASS,,any_withdrawal,risk_ratio,1.5828376599160947,0.06809912219701086,1.3850654524175248,1.8088495769465047,1.5472869269843827e-11,,,,,,
klosa,incident_any_adl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,490,490,16619,5649,838,15781,19,19,5061.0,361.0,4700.0,PASS,,any_withdrawal,risk_ratio,1.0004633132428098,0.12818444975345394,0.7781984587633519,1.2862102589297981,0.9971167792236028,,,,,,
klosa,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,16129,5498,348,15781,17,17,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,4517.0,138.0,4379.0,334.0,13.0,321.0
klosa,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,16129,5498,348,15781,20,20,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,4517.0,138.0,4379.0,334.0,13.0,321.0
klosa,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,490,490,16619,5649,838,15781,17,17,,,,PASS,,loss_1,risk_ratio,1.5338292102419846,0.06937338820896549,1.3388325704533008,1.7572264808250058,6.996861347601026e-10,4708.0,329.0,4379.0,353.0,32.0,321.0
klosa,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,490,490,16619,5649,838,15781,17,17,,,,PASS,,loss_2plus,risk_ratio,2.7532780584734375,0.18578016126079458,1.9129944666114431,3.9626565573391064,4.9929072956961386e-08,4708.0,329.0,4379.0,353.0,32.0,321.0
klosa,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,490,490,16619,5649,838,15781,20,20,,,,PASS,,loss_1,risk_ratio,1.0593523875816062,0.13663893242172365,0.8104629753228884,1.3846745813746202,0.6730456542583328,4708.0,329.0,4379.0,353.0,32.0,321.0
klosa,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,490,490,16619,5649,838,15781,20,20,,,,PASS,,loss_2plus,risk_ratio,1.3481078242960802,0.310023835042841,0.7342295554692316,2.4752404644986674,0.33530631913058184,4708.0,329.0,4379.0,353.0,32.0,321.0
