cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,risk_set_n,observed_n,unknown_n,weight_mean,weight_min,weight_max,weight_effective_n,weight_truncation_low,weight_truncation_high,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,imputations,ordinary_covariate_missing_cells,rubin_within_variance,rubin_between_variance,rubin_degrees_freedom
elsa,incident_diabetes,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,27503.0,8324.0,478.0,,,,PASS,,,,,,,,,,,,,,any_withdrawal,risk_ratio,1.1204685265620968,0.1831528467064115,0.7825276211506402,1.6043519552322054,,20.0,2831.0,0.0335399787547682,4.749049422845018e-06,859837371.4352933
elsa,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,26888.0,8268.0,801.0,26087.0,21.0,21.0,PASS,,,,,,,,,,5625.0,252.0,5373.0,,any_withdrawal,risk_ratio,0.8639420510861644,0.1399635509224376,0.6566703729250449,1.1366370380168884,0.2960636794110307,,,,,
elsa,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,8029.0,8029.0,73.0,7956.0,21.0,21.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,26379.0,8029.0,292.0,26087.0,21.0,21.0,PASS,29744.0,26379.0,3365.0,0.9992570323422756,0.922410813113633,1.2486391440820177,26292.8394178598,0.922410813113633,1.2486391440820177,5443.0,70.0,5373.0,,any_withdrawal,risk_ratio,0.7129607643246986,0.2625388893627394,0.4261790751787425,1.1927217479020251,0.1975089964913927,,,,,
elsa,incident_stroke,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,29362.0,8803.0,324.0,,,,PASS,,,,,,,,,,,,,,any_withdrawal,risk_ratio,0.7151270726547243,0.2524876699285033,0.435978753340984,1.1730083774145257,,20.0,3014.0,0.0637494074346838,5.86696420016998e-07,203473953902.5404
elsa,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,22996.0,7322.0,1400.0,21596.0,21.0,21.0,PASS,,,,,,,,,,4782.0,391.0,4391.0,,any_withdrawal,risk_ratio,0.972490820558318,0.1065592601902213,0.7891909637850832,1.198364451024986,0.7934942470406995,,,,,
elsa,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,7020.0,7020.0,207.0,6813.0,21.0,21.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,22487.0,7020.0,891.0,21596.0,21.0,21.0,PASS,25095.0,22487.0,2608.0,0.9992190347335566,0.9365766188645492,1.2050366317170909,22440.2390423462,0.9365766188645492,1.2050366317170909,4600.0,209.0,4391.0,,any_withdrawal,risk_ratio,1.0167015316986467,0.14020159817462,0.7724202682488063,1.338237805310169,0.9059557238293604,,,,,
elsa,incident_heart_disease,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,24929.0,7673.0,977.0,,,,PASS,,,,,,,,,,,,,,any_withdrawal,risk_ratio,1.001593276791605,0.1343390320719764,0.7697360187426199,1.3032897872609304,,20.0,2473.0,0.0180465244847533,4.295745544384799e-07,30416326787.22959
elsa,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,15735.0,5298.0,1322.0,14413.0,21.0,21.0,PASS,,,,,,,,,,3211.0,358.0,2853.0,,any_withdrawal,risk_ratio,0.9486838662516042,0.1063992113185175,0.7701128002285115,1.168661367294556,0.6205201841376939,,,,,
elsa,incident_hypertension,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,4927.0,4927.0,277.0,4650.0,21.0,21.0,PASS,,,,,,,,,,1131.0,74.0,1057.0,,any_withdrawal,risk_ratio,0.8355995101237296,0.2486989135207318,0.5132220153095765,1.360476597828418,0.4701826952873835,,,,,
elsa,incident_hypertension,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,15226.0,4927.0,813.0,14413.0,21.0,21.0,PASS,16952.0,15226.0,1726.0,0.9989941200472444,0.9276802595694228,1.2438056994714566,15184.231709274834,0.9276802595694228,1.2438056994714566,3029.0,176.0,2853.0,,any_withdrawal,risk_ratio,0.9719214090323944,0.1426014123711315,0.7349344517141109,1.285327178678754,0.8416996884400655,,,,,
elsa,incident_hypertension,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,16909.0,5397.0,892.0,,,,PASS,,,,,,,,,,,,,,any_withdrawal,risk_ratio,0.8979339197869443,0.1382291459517334,0.6848311639499974,1.1773490558657127,,20.0,1696.0,0.019106430093734,8.254255348143921e-07,9234591784.426865
elsa,incident_cancer,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,25063.0,7918.0,1179.0,23884.0,21.0,21.0,PASS,,,,,,,,,,5328.0,326.0,5002.0,,any_withdrawal,risk_ratio,0.8755851698308174,0.1197950944924006,0.6923546730488074,1.1073073086250644,0.2673938455251847,,,,,
elsa,incident_cancer,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,7661.0,7661.0,183.0,7478.0,21.0,21.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_cancer,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,24554.0,7661.0,670.0,23884.0,21.0,21.0,PASS,27604.0,24554.0,3050.0,0.9992434865100858,0.923889239214686,1.2448471144528093,24480.41356526727,0.923889239214686,1.2448471144528093,5146.0,144.0,5002.0,,any_withdrawal,risk_ratio,0.8269657630025731,0.170064519556746,0.5925545650959078,1.154108690509776,0.2639191200142959,,,,,
elsa,incident_cancer,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,27272.0,8386.0,732.0,,,,PASS,,,,,,,,,,,,,,any_withdrawal,risk_ratio,0.8676263374438264,0.1638302574893282,0.6293324981186962,1.1961490367595955,,20.0,2747.0,0.0268398613300487,4.685133055074898e-07,56559765464.03189
elsa,incident_arthritis,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,17090.0,5748.0,1383.0,15707.0,21.0,21.0,PASS,,,,,,,,,,3420.0,371.0,3049.0,,any_withdrawal,risk_ratio,1.0322535667648756,0.1040675954062422,0.8417902560532926,1.265811071625601,0.7603388944975039,,,,,
elsa,incident_arthritis,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,5405.0,5405.0,304.0,5101.0,21.0,21.0,PASS,,,,,,,,,,1163.0,76.0,1087.0,,any_withdrawal,risk_ratio,1.441385502941064,0.2283034299192123,0.9213993846206706,2.254822613045248,0.1092886502385832,,,,,
elsa,incident_arthritis,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,16581.0,5405.0,874.0,15707.0,21.0,21.0,PASS,18657.0,16581.0,2076.0,0.9989928875280152,0.9208469183058032,1.2679889965323494,16523.490751901714,0.9208469183058032,1.2679889965323494,3238.0,189.0,3049.0,,any_withdrawal,risk_ratio,1.123471535835991,0.1367188079333027,0.8593831087840909,1.4687143358210797,0.3944615609700268,,,,,
elsa,incident_arthritis,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,18407.0,5909.0,983.0,,,,PASS,,,,,,,,,,,,,,any_withdrawal,risk_ratio,1.1617334038752414,0.1292500666727083,0.9017551281929014,1.4966640715247987,,20.0,1844.0,0.0167048510395036,6.939956151821583e-07,9985841144.790668
hrs,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,52621.0,16805.0,6243.0,46378.0,21.0,21.0,PASS,,,,,,,,,,15393.0,2725.0,12668.0,,any_withdrawal,risk_ratio,1.084596042844266,0.0428696636290799,0.9971885696758168,1.179665122451081,0.0581864291922192,,,,,
hrs,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,14955.0,14955.0,536.0,14419.0,21.0,21.0,PASS,,,,,,,,,,4264.0,182.0,4082.0,,any_withdrawal,risk_ratio,0.9712830799711004,0.1523624360656867,0.7205343380823196,1.309293355746172,0.8483400014337616,,,,,
hrs,incident_diabetes,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,48067.0,14955.0,1689.0,46378.0,21.0,21.0,PASS,55051.0,48067.0,6984.0,0.9974102162587142,0.8898116545993807,1.4511453741202796,47671.84941922358,0.8898116545993807,1.4511453741202796,13210.0,542.0,12668.0,,any_withdrawal,risk_ratio,1.0741987701174294,0.0875840892029685,0.904759056268418,1.2753704864596191,0.4138054276890363,,,,,
hrs,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,62461.0,19017.0,5662.0,56799.0,21.0,21.0,PASS,,,,,,,,,,18697.0,2568.0,16129.0,,any_withdrawal,risk_ratio,1.0635861627791594,0.0453305470275565,0.973166716159528,1.1624067149763269,0.1738520786169985,,,,,
hrs,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,17573.0,17573.0,317.0,17256.0,21.0,21.0,PASS,,,,,,,,,,5200.0,117.0,5083.0,,any_withdrawal,risk_ratio,0.9407347998866256,0.1977044850211629,0.6385293245553344,1.3859691789942807,0.7573087481634453,,,,,
hrs,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,57907.0,17573.0,1108.0,56799.0,21.0,21.0,PASS,66212.0,57907.0,8305.0,0.9978378628227657,0.8961856311511593,1.3947910492625346,57535.91732706224,0.8961856311511593,1.3947910492625346,16514.0,385.0,16129.0,,any_withdrawal,risk_ratio,1.0009401241675395,0.1104808941035216,0.8060585544646489,1.2429384026994643,0.9932137665320186,,,,,
hrs,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,51626.0,17050.0,6866.0,44760.0,21.0,21.0,PASS,,,,,,,,,,15423.0,2910.0,12513.0,,any_withdrawal,risk_ratio,1.0179698298952229,0.0394325183337456,0.9422581148097504,1.0997650837808262,0.6515104702760451,,,,,
hrs,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,14864.0,14864.0,598.0,14266.0,21.0,21.0,PASS,,,,,,,,,,4321.0,204.0,4117.0,,any_withdrawal,risk_ratio,0.9796239866574258,0.1368763158557009,0.7491177355914935,1.2810578493070264,0.8804474843636231,,,,,
hrs,incident_heart_disease,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,47072.0,14864.0,2312.0,44760.0,21.0,21.0,PASS,53261.0,47072.0,6189.0,0.998118243004192,0.9078157411297444,1.3284428933490977,46861.298258449046,0.9078157411297444,1.3284428933490977,13240.0,727.0,12513.0,,any_withdrawal,risk_ratio,0.93137096846494,0.0748238953481292,0.8043266921880372,1.0784820264258066,0.3420109554364356,,,,,
hrs,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,28373.0,11329.0,6822.0,21551.0,21.0,21.0,PASS,,,,,,,,,,8269.0,2824.0,5445.0,,any_withdrawal,risk_ratio,1.095537883558379,0.0361223638144338,1.020657398894015,1.175911971648972,0.0115366121884511,,,,,
hrs,incident_hypertension,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,8134.0,8134.0,808.0,7326.0,21.0,21.0,PASS,,,,,,,,,,2150.0,227.0,1923.0,,any_withdrawal,risk_ratio,1.0159274463980947,0.1229707817563983,0.7983434642419133,1.2928127085314312,0.8977520747577323,,,,,
hrs,incident_hypertension,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,23819.0,8134.0,2268.0,21551.0,21.0,21.0,PASS,26808.0,23819.0,2989.0,0.997683702252565,0.9127049212314016,1.369385726326736,23696.103778380584,0.9127049212314016,1.369385726326736,6086.0,641.0,5445.0,,any_withdrawal,risk_ratio,1.133793889146349,0.0725316523838139,0.9835468628504036,1.3069927134332435,0.0834096184444533,,,,,
hrs,incident_cancer,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,57226.0,18241.0,6103.0,51123.0,21.0,21.0,PASS,,,,,,,,,,17515.0,2675.0,14840.0,,any_withdrawal,risk_ratio,1.0947317519252409,0.0426848647245567,1.0068720653182237,1.1902580774197355,0.033971594978078,,,,,
hrs,incident_cancer,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,16471.0,16471.0,430.0,16041.0,21.0,21.0,PASS,,,,,,,,,,4980.0,143.0,4837.0,,any_withdrawal,risk_ratio,1.1069058992008636,0.1634455506551098,0.8034994744806241,1.524880486670708,0.5343220654553336,,,,,
hrs,incident_cancer,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,52672.0,16471.0,1549.0,51123.0,21.0,21.0,PASS,60105.0,52672.0,7433.0,0.9977582786118856,0.8937811409708252,1.4061782552154083,52323.00282248695,0.8937811409708252,1.4061782552154083,15332.0,492.0,14840.0,,any_withdrawal,risk_ratio,1.207189305054874,0.0882921595632798,1.0153621189161688,1.4352574230309538,0.0329548477436456,,,,,
hrs,incident_arthritis,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,27868.0,11354.0,6709.0,21159.0,21.0,21.0,PASS,,,,,,,,,,8285.0,2826.0,5459.0,,any_withdrawal,risk_ratio,1.0938759244139231,0.036059927864133,1.0192337536303384,1.1739844110837714,0.0128361770325467,,,,,
hrs,incident_arthritis,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,8185.0,8185.0,737.0,7448.0,21.0,21.0,PASS,,,,,,,,,,2203.0,227.0,1976.0,,any_withdrawal,risk_ratio,1.2007359560655924,0.1277464924466064,0.9347801988054232,1.542359196345,0.1521400389813644,,,,,
hrs,incident_arthritis,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,23314.0,8185.0,2155.0,21159.0,21.0,21.0,PASS,26611.0,23314.0,3297.0,0.9977783071037148,0.8959904832147317,1.359294611140452,23179.91076572077,0.8959904832147317,1.359294611140452,6102.0,643.0,5459.0,,any_withdrawal,risk_ratio,1.1761193703747417,0.0737846358044055,1.0177610045381755,1.359117481611856,0.0279088371545117,,,,,
klosa,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,13730.0,4878.0,989.0,12741.0,19.0,19.0,PASS,,,,,,,,,,4206.0,444.0,3762.0,,any_withdrawal,risk_ratio,1.0981652881442725,0.1120572488201272,0.8816260394084582,1.3678894975631126,0.4033506893029381,,,,,
klosa,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,4585.0,4585.0,136.0,4449.0,19.0,19.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,13119.0,4585.0,378.0,12741.0,19.0,19.0,PASS,14018.0,13119.0,899.0,0.9986995069727174,0.9488413426972332,1.264460052092527,13083.694742449738,0.9488413426972332,1.264460052092527,3897.0,135.0,3762.0,,any_withdrawal,risk_ratio,1.2062260664767583,0.1767987308765488,0.852977070534944,1.7057683889855362,0.2889133885095734,,,,,
klosa,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,16083.0,5518.0,801.0,15282.0,19.0,19.0,PASS,,,,,,,,,,4962.0,370.0,4592.0,,any_withdrawal,risk_ratio,1.037832525001937,0.1302428317941767,0.8040154192917509,1.3396463850167188,0.7755546102161446,,,,,
klosa,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,5292.0,5292.0,62.0,5230.0,19.0,19.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,15472.0,5292.0,190.0,15282.0,19.0,19.0,PASS,16530.0,15472.0,1058.0,0.998888572579971,0.9526086576182912,1.2406892015822593,15435.348298399003,0.9526086576182912,1.2406892015822593,4653.0,61.0,4592.0,,any_withdrawal,risk_ratio,1.1314299874615086,0.2505594604600866,0.6923904764545606,1.8488610979777973,0.6221352794145609,,,,,
klosa,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,15477.0,5345.0,809.0,14668.0,19.0,19.0,PASS,,,,,,,,,,4791.0,375.0,4416.0,,any_withdrawal,risk_ratio,1.02950675137571,0.1271715808040323,0.8023808465256339,1.3209240421397666,0.81912859187218,,,,,
klosa,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,5099.0,5099.0,53.0,5046.0,19.0,19.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,14866.0,5099.0,198.0,14668.0,19.0,19.0,PASS,15896.0,14866.0,1030.0,0.9986647498523924,0.9510987233491373,1.263861028425202,14826.601548740446,0.9510987233491373,1.263861028425202,4482.0,66.0,4416.0,,any_withdrawal,risk_ratio,1.1694583545579835,0.2383795296026116,0.7329523427822335,1.8659232847991625,0.5113823066761051,,,,,
klosa,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,9468.0,3640.0,1200.0,8268.0,19.0,19.0,PASS,,,,,,,,,,2826.0,462.0,2364.0,,any_withdrawal,risk_ratio,1.245167523666575,0.0941802529795001,1.03528854378761,1.4975942420087514,0.0199017042640265,,,,,
klosa,incident_hypertension,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,3246.0,3246.0,223.0,3023.0,19.0,19.0,PASS,,,,,,,,,,878.0,57.0,821.0,,any_withdrawal,risk_ratio,1.4998102653537515,0.2193962329044928,0.9756317154640068,2.305614707277807,0.0646720220094445,,,,,
klosa,incident_hypertension,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,8857.0,3246.0,589.0,8268.0,19.0,19.0,PASS,9474.0,8857.0,617.0,0.9986162764152332,0.9497213201281732,1.2578867726251648,8834.193275835158,0.9497213201281732,1.2578867726251648,2517.0,153.0,2364.0,,any_withdrawal,risk_ratio,1.2183988664164602,0.1357718489820575,0.933727777600119,1.589859307281602,0.1456905666220443,,,,,
klosa,incident_cancer,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,15993.0,5491.0,833.0,15160.0,19.0,19.0,PASS,,,,,,,,,,4954.0,364.0,4590.0,,any_withdrawal,risk_ratio,1.015938121188706,0.1296405774736271,0.7879832703865387,1.309837790817735,0.9029216672209448,,,,,
klosa,incident_cancer,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,5265.0,5265.0,68.0,5197.0,19.0,19.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_cancer,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,15382.0,5265.0,222.0,15160.0,19.0,19.0,PASS,16437.0,15382.0,1055.0,0.9988475923748092,0.9524648153285732,1.2537281174630994,15342.82249975246,0.9524648153285732,1.2537281174630994,4645.0,55.0,4590.0,,any_withdrawal,risk_ratio,0.8337582412654458,0.2421262775983293,0.5187306128118763,1.34010368331617,0.4527148901693881,,,,,
klosa,incident_arthritis,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,13037.0,4570.0,830.0,12207.0,19.0,19.0,PASS,,,,,,,,,,3947.0,372.0,3575.0,,any_withdrawal,risk_ratio,1.012849775671328,0.1315400833362052,0.7826686066140122,1.3107267359496686,0.9226748986536348,,,,,
klosa,incident_arthritis,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,4282.0,4282.0,78.0,4204.0,19.0,19.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_arthritis,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,12426.0,4282.0,219.0,12207.0,19.0,19.0,PASS,13311.0,12426.0,885.0,0.9986852981987696,0.9509395021741353,1.2604367409329238,12393.04060877578,0.9509395021741353,1.2604367409329238,3638.0,63.0,3575.0,,any_withdrawal,risk_ratio,0.9710193881058218,0.2542408837042763,0.5899533463482481,1.5982257883843332,0.9079115870110516,,,,,
mhas,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,,,,,,,,,
mhas,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,,,,,,,,,
mhas,incident_diabetes,sensitivity,stabilized_ipcw,,,,,,,,NOT_EVALUABLE_EMPTY,,,,,,,,,,,,,,,,,,,,,,,,,
mhas,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,,,,,,,,,
